author,email,papers,tags
"Hemp, Andreas ",,[],[]
Pollock Laura J.,,[],[]
"Thuiller, Wilfried ",,[],[]
"Poore, J. ",,[],[]
"Nemecek, T.",,[],[]
"Poorter, L. ",,[],[]
"van der Sande, M. T. ",,[],[]
"Potapov, Peter ",,[],[]
"Turubanova, Svetlana ",,[],[]
"Poulsen, John R.",,[],[]
"Rosin, Cooper ",,[],[]
"Poux, Xavier ",,[],[]
"Aubert, Pierre-Marie ",,[],[]
"Müller, Karin",,[],[]
"Oliver, Margaret",,[],[]
"Prestele, Reinhard ",,[],[]
"Hirsch, Annette L. ",,[],[]
"Pretty, Jules N.",,[],[]
"Benton, Tim G.",,[],[]
"McSweeney, Robert ",,[],[]
"Ram, Manish",,[],[]
"Ramirez-Delgado, Juan Pablo ",,[],[]
"Di Marco, Moreno ",,[],[]
"Rantanen, Mika 
",,[],[]
"Karpechko, Alexey Yu. ",,[],[]
"Thomson, Emma ",,[],[]
"Franklin, Hannah",,[],[]
"Lafortune, Guillaume ",,[],[]
"Sachs, Jeffrey",,[],[]
"Ray, Deepak K. ",,[],[]
"West, Paul C. ",,[],[]
"Rayden, Tim ",,[],[]
"Jones, Kendall R. ",,[],[]
"Reilly, John",,[],[]
"Paltsev, Sergey ",,[],[]
"Reiner, Florian ",,[],[]
"Brandt, Martin ",,[],[]
Riahi et al.,,[],[]
"Riggs, Peter ",,[],[]
"Mouginot, Jérémie ",,[],[]
Riley. W. J.,,[],[]
"Zhu, Q. ",,[],[]
"Rizzuto, Matteo
",,[],[]
"Leroux, Shawn J. ",,[],[]
"Roberts, Callum M. ",,[],[]
"O’Leary, Bethan C. ",,[],[]
"O'Leary, Bethan",,[],[]
"Allen, Harriet",,[],[]
"LaBruna, Danielle ",,[],[]
"Rockström, Johan ",,[],[]
"Kotzé, Louis ",,[],[]
"Rödig, Edna",,[],[]
"Cuntz, Matthias ",,[],[]
"Roe, Stephanie",,[],[]
"Streck, Charlotte ",,[],[]
"Rogelj, Joeri",,[],[]
"Popp, Alexander ",,[],[]
"Shindell, Drew ",,[],[]
"Rogers, Brendan M. ",,[],[]
"Rosa, Lorenzo",,[],[]
"Pereira, Henrique M. ",,[],[]
"Rowen, Elizabeth K. ",,[],[]
"Pearsons, Kirsten A. ",,[],[]
"Worsdell, Thomas",,[],[]
"Valencia, Laura ",,[],[]
"Rumpel, Cornelia",,[],[]
"Amiraslani, Farshad ",,[],[]
"Ryals, Rebecca ",,[],[]
"Hartman, Melannie D. ",,[],[]
"Kaiser, Michael ",,[],[]
"Sabatini, Francesco Maria",,[],[]
"Bluhm, Hendrik ",,[],[]
"Sala, Enric",,[],[]
"Mayorga, Juan ",,[],[]
"Sala, Enric ",,[],[]
"Giakoumi, Sylvaine ",,[],[]
"Rechberger, Kristin ",,[],[]
"Sampaio, Ricardo",,[],[]
"Morato, Ronaldo G. ",,[],[]
"Sánchez-Bayo, Francisco ",,[],[]
"Wyckhuys, Kris A.G. ",,[],[]
"Sanderman, Jonathan ",,[],[]
"Sandhu, Harpinder",,[],[]
"Sukhdev, Pavan ",,[],[]
"Sartore-Baldwin, Melanie ",,[],[]
"McCullough, Brian ",,[],[]
"Saura, Santiago",,[],[]
"Bastin, Lucy ",,[],[]
"Sawin, Janet L. ",,[],[]
"Seyboth, Kristin ",,[],[]
"Sayre, Roger ",,[],[]
"Karagulle, Deniz ",,[],[]
"McKinnon, Mathew (Ed.)",,[],[]
"Schauman, Santiago A. ",,[],[]
"Peñuelas, Josep ",,[],[]
"Schmitz, Oswald J. ",,[],[]
"Sylvén, Magnus ",,[],[]
"Montanarella, Luca (Ed.)",,[],[]
"Scholtz, Rheinhardt ",,[],[]
"Twidwell, Dirac ",,[],[]
"Jerkins, Diana",,[],[]
Schonbeck et al.,,[],[]
"Schreckenberg, Kate",,[],[]
"Mace, Georgina ",,[],[]
"Schultheiss, Patrick",,[],[]
"Nooten, Sabine S. ",,[],[]
"Schuster, Richard ",,[],[]
"Germain, Ryan R. ",,[],[]
"Schwartz, Judith D. ",,[],[]
"Scott, C. E. ",,[],[]
"Monks, S. A. ",,[],[]
"Wirsenius, Stefan ",,[],[]
"Searchinger, Tim ",,[],[]
"Waite, Richard ",,[],[]
"Seymour, Frances ",,[],[]
"Busch, Jonah ",,[],[]
"Sheil, Douglas ",,[],[]
"Shen, Xiaoli ",,[],[]
"Liu, Mingzhang ",,[],[]
"Vergara, Sintana E. ",,[],[]
"Silvestro, Daniele ",,[],[]
"Goria, Stefano ",,[],[]
"Akhtar, Shazabe",,[],[]
"Conway, Daragh",,[],[]
"de Siqueira, Ludmila P. ",,[],[]
"Tedesco, Anazelia M. ",,[],[]
"Skole, David L. ",,[],[]
"Slusarewicz, Joanna ",,[],[]
"Cohan, Daniel",,[],[]
"Wouterse, Fleur ",,[],[]
"Badiane, Ousmane ",,[],[]
"Smith, C.",,[],[]
"Baker, J.C.A.",,[],[]
"Smith, Pete",,[],[]
"Price, Jeff",,[],[]
"Smith, Jeffrey",,[],[]
"Letten, Andrew",,[],[]
"Nkem, Johnson ",,[],[]
"Smucker, Glenn",,[],[]
"Timyan, Joel",,[],[]
"Song, Shanshan
",,[],[]
"Li, Wei",,[],[]
"Song, Xiao-Peng ",,[],[]
"Huang, Chengquan ",,[],[]
"Soto-Navarro, C.",,[],[]
"Ravilious, C.",,[],[]
"Sovacool, Benjamin",,[],[]
"Jinsoo, Kim",,[],[]
"Spawn, Seth
",,[],[]
"Sullivan, Clare",,[],[]
"Spiliopoulou, Konstantina
",,[],[]
"Brooks, Thomas",,[],[]
"Springmann, Marco",,[],[]
"Clark, Michael",,[],[]
"Stanley, Paige",,[],[]
"Rowntree, Jason",,[],[]
"Steffen, Will",,[],[]
"Rockstrom, Johan",,[],[]
"Stephenson, N.L.",,[],[]
"Das, A.J.",,[],[]
"Sterman, John",,[],[]
"Siegel, Lori",,[],[]
"Stolton, Sue",,[],[]
"Dudley, Nigel",,[],[]
"Stone, Glen Davis",,[],[]
"Strassburg, Bernardo
",,[],[]
"Iribarrem, Alvaro ",,[],[]
"Beyer, Hawthorne ",,[],[]
"Sun, Yuwei ",,[],[]
"Zhang, Hongming ",,[],[]
"Sze, Jocelyn",,[],[]
"Carrasco, L. Roman ",,[],[]
"Childs, Dylan",,[],[]
"LePage, Michael",,[],[]
"Tallis, Heather",,[],[]
"Hawthorne, Peter",,[],[]
"Tang, Liang
",,[],[]
"Werner, Tim",,[],[]
"Tauli-Corpuz, Vicky
",,[],[]
"Alcorn, Janis",,[],[]
"Taylor, Betsy",,[],[]
"Teske, Sven
",,[],[]
"Rispler, Jonathan",,[],[]
"Guerrero, Jaysson ",,[],[]
"Thackery, Chad",,[],[]
"Timmers, Robert
",,[],[]
"van Kuijk, Marijke ",,[],[]
"MacKeracher, Tracy ",,[],[]
"Diedrich, Amy ",,[],[]
Transport & Environment (T & E),,[],[]
"Trimmer, John  ",,[],[]
"Guest, Jeremy",,[],[]
"Trouwborst, Arie",,[],[]
"Svenning, Jens-Christian ",,[],[]
"Tubiello, Francesco",,[],[]
"Cóndor-Golec, Rocío ",,[],[]
"Turetsky, Merritt",,[],[]
"Abbott, Benjamin ",,[],[]
"Turner, P.A.",,[],[]
"Mach, K.J.",,[],[]
"Klein, Alexandra-Maria",,[],[]
"Boreux, Virginie ",,[],[]
"Chotte, J.",,[],[]
"Aynekulu, E.",,[],[]
"Mulder, Ivo",,[],[]
"Blin, Aurelia ",,[],[]
"Ayuk, Elias ",,[],[]
"Ramaswami, Anu
",,[],[]
United Nations,,[],[]
"Uroy, Léa
",,[],[]
"Mony, Cendrine ",,[],[]
"Dumas, Carol Ryan ",,[],[]
USEIA,,[],[]
"De Sy, V. ",,[],[]
"Herold, M.",,[],[]
"van Tiel, Nina ",,[],[]
"Fopp, Fabian ",,[],[]
"Evans, Simon ",,[],[]
"van der Sande, Masha",,[],[]
"Poorter, Lourens ",,[],[]
"Veit, Peter ",,[],[]
"Venter, Oscar",,[],[]
"Magrach, Ainhoa ​​",,[],[]
"Vergara, Sintana ",,[],[]
"Silver, Whendee ",,[],[]
"Middletown, Jess",,[],[]
"Nichols, Will",,[],[]
"Vermeulen, Sonja ",,[],[]
"Bossio, Deborah ",,[],[]
"Etter, Hannes ",,[],[]
"Vera, Andrea ",,[],[]
"Verschuur, Jasper 
",,[],[]
"Koks, Elco ",,[],[]
"Vervuurt, W.
",,[],[]
"Slingerland, M. A. ",,[],[]
"Villat, Jessica
",,[],[]
"Nicholas, Kimberly Ann ",,[],[]
"Visbeck, Martin",,[],[]
"Vollset, Stein Emil ",,[],[]
"Goren, Emily ",,[],[]
"van Vuuren, Detlef ",,[],[]
"Stehfest, Elke ",,[],[]
"Cowan, Carolyn",,[],[]
"Vynne, Carly
",,[],[]
"Dovichin, Erin ",,[],[]
"Gosling, Joe ",,[],[]
"Waidelich, Paul
",,[],[]
"Batibeniz, Fulden ",,[],[]
"Waldron, Anthony",,[],[]
"Miller, Daniel C.",,[],[]
"Waliczky, Zoltan ",,[],[]
"Wallace-Wells, David",,[],[]
"Walter, Daan
",,[],[]
"Bond, Kingsmill",,[],[]
"Ward, Michelle
",,[],[]
"Saura, Santiago ",,[],[]
"Warner, Emily
",,[],[]
"Cook-Patton, Susan ",,[],[]
"Watson, James",,[],[]
"Venegas-Li, Ruben ",,[],[]
"Shanahan, Danielle ",,[],[]
"Evans, Tom ",,[],[]
"Wauchope, Hannah
",,[],[]
"Amano, Tatsuya ",,[],[]
"Way, Rupert
",,[],[]
"Ives, Matthew ",,[],[]
"Collins, Aengus ",,[],[]
"Weiskopf, Sarah
",,[],[]
"Isbell, Forest ",,[],[]
"Weisse, Mikaela",,[],[]
"Goldman, Elizabeth ",,[],[]
"Weissman, Gideon ",,[],[]
"Cross, Rachel J. ",,[],[]
"Wells, Mark",,[],[]
"Potin, Philippe ",,[],[]
"West, Thales A. P. ",,[],[]
"Wunder, Sven ",,[],[]
"West, B. Jason",,[],[]
"Haake, Danelle ",,[],[]
"White, Thomas
",,[],[]
"Petrovan, Silviu",,[],[]
WHO,,[],[]
"Willcock, Simon
",,[],[]
"Hooftman, Danny A. P. ",,[],[]
"Phillips, Oliver L. ",,[],[]
"Willer, Helga",,[],[]
"Lernoud, Julia",,[],[]
"Willett, Walter",,[],[]
"Wilmers, Christopher C. ",,[],[]
"Wilson, E.O. ",,[],[]
"Wintle, Brendan A. ",,[],[]
"Kujala, Heini ",,[],[]
"Wolf, Sebastian
",,[],[]
"Paul-Limoges, Eugénie ",,[],[]
"Wolf, Julie",,[],[]
"Asrar, Ghassem R.",,[],[]
"Wollenberg, Eva",,[],[]
"Richards, Meryl",,[],[]
"Wolosin, Michael",,[],[]
"Harris, Nancy",,[],[]
"Wolz, Kevin",,[],[]
"Lovell, Sarah",,[],[]
"DeLucia, Evan ",,[],[]
World Bank,,[],[]
World Water Council,,[],[]
"Worthington, Thomas A. 

",,[],[]
"Spalding, Mark Douglas 

",,[],[]
"Minnemeyer, Susan ",,[],[]
"Laestadius, Lars ",,[],[]
"Wright, Jonathon S. ",,[],[]
"Rong, Fu",,[],[]
"Wunderling, Nico",,[],[]
"Winkelmann, Ricarda ",,[],[]
WWF,,[],[]
"Barrett, Mike",,[],[]
"Belward, Alan ",,[],[]
"WWF
",,[],[]
"Johnson, Christopher M. ",,[],[]
"Reisinger, Ryan R. ",,[],[]
"Yadav, Kamini",,[],[]
"Congalton, Russell G. ",,[],[]
"Yang, Yi",,[],[]
"Furey, George ",,[],[]
"Yang, Rui
",,[],[]
"Cao, Yue",,[],[]
"Yee, Thomas",,[],[]
"Trinh, Sissy ",,[],[]
"Yulianto, Irfan",,[],[]
"Booth, Hollie",,[],[]
"Yumashev, Dmitry",,[],[]
"Hope, Chris",,[],[]
"Zarin, Daniel",,[],[]
"Zhang, Rui
",,[],[]
"Lu, Yafeng ",,[],[]
"Zhang, Yao",,[],[]
"Joiner, Joanna ",,[],[]
"Zhao, Haokai ",,[],[]
"Themelis, Nickolas J. 
",,[],[]
"Zhu, Yingtong
",,[],[]
"Prescott, Graham W. ",,[],[]
"Zomer, Robert J. ",,[],[]
"Neufeldt, Henry ",,[],[]
Zoological Society of London,,[],[]
Food and Agriculture Organization of the United Nations,,[],[]
IAFN Secretariat,,[],[]
The Carbon Underground and Regenerative Agriculture Initiative,,[],[]
NOAA,,[],[]
World Bank Group,,[],[]
The White House,,[],[]
Mongabay,,[],[]
Marine Bio,,[],[]
REN21,,[],[]
