author,email,papers,tags
"Birch, Joseph D.",,[],[]
"Simard, Suzanne W.",,[],[]
"Bittermann, Klaus",,[],[]
"Rahmstorf, Stefan ",,[],[]
"Blackman, Allen",,[],[]
"Corral, Leonardo ",,[],[]
"Blakemore, Robert J. ",,[],[]
"Bodin, Blaise",,[],[]
"Garavaglia, Valentina ",,[],[]
"Boehm, Rebecca",,[],[]
"Wilde, Parke E. ",,[],[]
"Bogdanov, Dmitrii",,[],[]
"Gulagi, Ashish ",,[],[]
"Manish, Ram",,[],[]
"Bonannella, Carmelo",,[],[]
"Hengl, Tomislav ",,[],[]
"Box, Jason E. ",,[],[]
"Colgan, William T.",,[],[]
"Bradley, Curtis M. ",,[],[]
"Hanson, Chad T.",,[],[]
"Brancalion, Pedro H. S.",,[],[]
"Meli, Paula ",,[],[]
"Brancalion, Pedro S.",,[],[]
Aidin Niamir,,[],[]
"Bren d'Amour, Christopher ",,[],[]
"Reitsma, Femke ",,[],[]
"Brennan, A.",,[],[]
"Naidoo, R.",,[],[]
"Breyer, Christian",,[],[]
"Khalili, Siavash ",,[],[]
"Brodie, Jedediah F.",,[],[]
"Mohd-Azlan, Jayasilan ",,[],[]
"Brown, T.W.",,[],[]
"Bischof-Niemz, T. ",,[],[]
"Bruckner, Benedikt
",,[],[]
"Hubacek, Klaus ",,[],[]
"Budiharta, S.",,[],[]
"Meijaard, E.",,[],[]
"Buma, B.",,[],[]
"Gordon, D. R. ",,[],[]
"Bunyard, Peter P.",,[],[]
"Collin, Eliza ",,[],[]
"Burgess, P.J.",,[],[]
"Harris, J.",,[],[]
"Burivalova, Zuzana",,[],[]
"Yoh, Natalie ",,[],[]
"Butler, Rhett A.",,[],[]
"Towsey, Michael ",,[],[]
"Busch, Jonah",,[],[]
"Ferretti-Gallon, Kalifi ",,[],[]
"Ring, Irene ",,[],[]
AlphaBeta,,[],[]
"Campbell, John L.",,[],[]
"Sessions, John",,[],[]
"Cannon, Charles H.",,[],[]
"Piovesan, Gianluca",,[],[]
Carbon Tracker Initiative,,[],[]
"Asner, Gregory P. ",,[],[]
"Brodrick, Philip G. ",,[],[]
"Carr, Mark H. ",,[],[]
"Robinson, Sarah P.",,[],[]
"Cavicchioli, Ricardo",,[],[]
"Ripple, William J.",,[],[]
"Griffiin, Paul",,[],[]
"Ceballos, Gerardo ",,[],[]
"Ehrlich, Paul",,[],[]
"Chambers, Adam",,[],[]
"Lal, Rattan
",,[],[]
"Chami, Ralph",,[],[]
"Cosimano,Thomas ",,[],[]
"Chancel, Lucas ",,[],[]
"Chaplin-Kramer, Rebecca",,[],[]
"Neugarten, Rachel A.",,[],[]
"Chapman, Melissa
",,[],[]
"Boettiger, Carl ",,[],[]
"Chapman, Colin A.",,[],[]
"DeLuycker, Anneke 
",,[],[]
"Chatzimpiros, Petros
",,[],[]
"Harchaoui, Souhil ",,[],[]
"Chemnitz, Christine",,[],[]
Heinrich Böll Foundation,,[],[]
"Chen, Shiping",,[],[]
"Wang, Wantong ",,[],[]
"Cherlet, Michael",,[],[]
"Hutchinson, Charles",,[],[]
"Xu, Chi ",,[],[]
"Kohler, Timothy A.",,[],[]
